DATE,IHLIDXUSTPELECENGI
2020-02-01,100.0
2020-02-02,99.99
2020-02-03,99.96
2020-02-04,99.95
2020-02-05,99.96
2020-02-06,99.99
2020-02-07,99.97
2020-02-08,100.13
2020-02-09,100.28
2020-02-10,100.48
2020-02-11,100.63
2020-02-12,100.74
2020-02-13,100.7
2020-02-14,100.67
2020-02-15,100.47
2020-02-16,100.42
2020-02-17,100.24
2020-02-18,100.03
2020-02-19,99.8
2020-02-20,99.7
2020-02-21,99.53
2020-02-22,99.38
2020-02-23,99.32
2020-02-24,99.31
2020-02-25,99.34
2020-02-26,99.34
2020-02-27,99.28
2020-02-28,99.32
2020-02-29,99.44
2020-03-01,99.33
2020-03-02,99.22
2020-03-03,99.15
2020-03-04,99.06
2020-03-05,98.97
2020-03-06,98.83
2020-03-07,98.71
2020-03-08,98.59
2020-03-09,98.33
2020-03-10,98.3
2020-03-11,98.18
2020-03-12,98.07
2020-03-13,97.91
2020-03-14,97.72
2020-03-15,97.44
2020-03-16,97.29
2020-03-17,96.77
2020-03-18,96.19
2020-03-19,95.41
2020-03-20,94.48
2020-03-21,93.26
2020-03-22,92.21
2020-03-23,91.15
2020-03-24,90.2
2020-03-25,89.16
2020-03-26,88.19
2020-03-27,86.89
2020-03-28,85.95
2020-03-29,84.9
2020-03-30,83.88
2020-03-31,82.77
2020-04-01,81.68
2020-04-02,80.55
2020-04-03,79.89
2020-04-04,78.97
2020-04-05,77.96
2020-04-06,76.75
2020-04-07,75.64
2020-04-08,74.85
2020-04-09,74.14
2020-04-10,73.43
2020-04-11,72.97
2020-04-12,72.57
2020-04-13,72.35
2020-04-14,72.14
2020-04-15,71.76
2020-04-16,71.4
2020-04-17,71.06
2020-04-18,70.78
2020-04-19,70.45
2020-04-20,70.25
2020-04-21,69.96
2020-04-22,69.77
2020-04-23,69.53
2020-04-24,69.33
2020-04-25,69.13
2020-04-26,68.92
2020-04-27,68.62
2020-04-28,68.35
2020-04-29,68.05
2020-04-30,67.79
2020-05-01,67.52
2020-05-02,67.3
2020-05-03,67.06
2020-05-04,66.92
2020-05-05,66.8
2020-05-06,66.71
2020-05-07,66.58
2020-05-08,66.46
2020-05-09,66.31
2020-05-10,66.22
2020-05-11,66.0
2020-05-12,65.82
2020-05-13,65.25
2020-05-14,64.94
2020-05-15,64.91
2020-05-16,64.72
2020-05-17,64.59
2020-05-18,64.49
2020-05-19,64.4
2020-05-20,64.84
2020-05-21,65.19
2020-05-22,65.33
2020-05-23,65.54
2020-05-24,65.58
2020-05-25,65.62
2020-05-26,65.64
2020-05-27,65.44
2020-05-28,65.2
2020-05-29,65.09
2020-05-30,65.24
2020-05-31,65.28
2020-06-01,65.28
2020-06-02,65.31
2020-06-03,65.43
2020-06-04,65.55
2020-06-05,65.69
2020-06-06,65.67
2020-06-07,65.8
2020-06-08,65.96
2020-06-09,66.12
2020-06-10,66.25
2020-06-11,66.33
2020-06-12,66.24
2020-06-13,66.06
2020-06-14,66.03
2020-06-15,65.99
2020-06-16,65.9
2020-06-17,65.81
2020-06-18,65.81
2020-06-19,65.84
2020-06-20,65.97
2020-06-21,65.95
2020-06-22,65.93
2020-06-23,65.86
2020-06-24,65.82
2020-06-25,65.72
2020-06-26,65.67
2020-06-27,65.6
2020-06-28,65.59
2020-06-29,65.62
2020-06-30,65.57
2020-07-01,65.43
2020-07-02,65.48
2020-07-03,65.55
2020-07-04,65.68
2020-07-05,65.78
2020-07-06,65.85
2020-07-07,66.13
2020-07-08,66.73
2020-07-09,67.16
2020-07-10,67.6
2020-07-11,68.03
2020-07-12,68.42
2020-07-13,68.84
2020-07-14,69.25
2020-07-15,69.35
2020-07-16,69.48
2020-07-17,69.47
2020-07-18,69.15
2020-07-19,69.12
2020-07-20,69.16
2020-07-21,69.22
2020-07-22,69.36
2020-07-23,69.42
2020-07-24,69.59
2020-07-25,70.15
2020-07-26,70.48
2020-07-27,70.65
2020-07-28,70.79
2020-07-29,70.96
2020-07-30,71.16
2020-07-31,71.26
2020-08-01,71.25
2020-08-02,71.17
2020-08-03,71.18
2020-08-04,71.24
2020-08-05,71.13
2020-08-06,70.91
2020-08-07,70.63
2020-08-08,70.45
2020-08-09,70.31
2020-08-10,70.12
2020-08-11,69.9
2020-08-12,69.63
2020-08-13,69.45
2020-08-14,69.45
2020-08-15,69.12
2020-08-16,69.07
2020-08-17,69.0
2020-08-18,68.97
2020-08-19,69.13
2020-08-20,69.38
2020-08-21,69.56
2020-08-22,70.0
2020-08-23,70.18
2020-08-24,70.39
2020-08-25,70.56
2020-08-26,70.75
2020-08-27,70.88
2020-08-28,70.99
2020-08-29,71.13
2020-08-30,71.22
2020-08-31,71.3
2020-09-01,71.36
2020-09-02,71.43
2020-09-03,71.58
2020-09-04,71.71
2020-09-05,71.81
2020-09-06,71.99
2020-09-07,72.16
2020-09-08,72.3
2020-09-09,72.43
2020-09-10,72.45
2020-09-11,72.55
2020-09-12,72.63
2020-09-13,72.66
2020-09-14,72.75
2020-09-15,72.93
2020-09-16,73.06
2020-09-17,73.19
2020-09-18,73.34
2020-09-19,73.49
2020-09-20,73.68
2020-09-21,73.83
2020-09-22,73.93
2020-09-23,74.06
2020-09-24,74.12
2020-09-25,74.14
2020-09-26,74.13
2020-09-27,74.17
2020-09-28,74.25
2020-09-29,74.36
2020-09-30,74.56
2020-10-01,74.67
2020-10-02,74.79
2020-10-03,74.91
2020-10-04,74.94
2020-10-05,74.98
2020-10-06,75.01
2020-10-07,74.96
2020-10-08,75.12
2020-10-09,75.2
2020-10-10,75.32
2020-10-11,75.52
2020-10-12,75.68
2020-10-13,75.8
2020-10-14,75.91
2020-10-15,75.92
2020-10-16,75.88
2020-10-17,75.69
2020-10-18,75.63
2020-10-19,75.56
2020-10-20,75.54
2020-10-21,75.49
2020-10-22,75.5
2020-10-23,75.6
2020-10-24,75.86
2020-10-25,75.96
2020-10-26,76.07
2020-10-27,76.16
2020-10-28,76.35
2020-10-29,76.61
2020-10-30,76.83
2020-10-31,76.97
2020-11-01,77.13
2020-11-02,77.29
2020-11-03,77.47
2020-11-04,77.62
2020-11-05,77.66
2020-11-06,77.8
2020-11-07,77.93
2020-11-08,78.13
2020-11-09,78.29
2020-11-10,78.52
2020-11-11,78.75
2020-11-12,78.93
2020-11-13,79.14
2020-11-14,79.06
2020-11-15,79.25
2020-11-16,79.5
2020-11-17,79.63
2020-11-18,79.81
2020-11-19,80.07
2020-11-20,80.26
2020-11-21,80.81
2020-11-22,81.06
2020-11-23,81.33
2020-11-24,81.64
2020-11-25,81.91
2020-11-26,82.12
2020-11-27,82.39
2020-11-28,82.57
2020-11-29,82.71
2020-11-30,82.85
2020-12-01,82.91
2020-12-02,82.91
2020-12-03,82.97
2020-12-04,83.07
2020-12-05,83.17
2020-12-06,83.32
2020-12-07,83.47
2020-12-08,83.76
2020-12-09,84.1
2020-12-10,84.43
2020-12-11,84.75
2020-12-12,84.8
2020-12-13,85.22
2020-12-14,85.55
2020-12-15,85.82
2020-12-16,86.14
2020-12-17,86.37
2020-12-18,86.58
2020-12-19,86.93
2020-12-20,86.93
2020-12-21,87.07
2020-12-22,87.14
2020-12-23,87.16
2020-12-24,87.3
2020-12-25,87.35
2020-12-26,87.56
2020-12-27,87.71
2020-12-28,87.83
2020-12-29,88.08
2020-12-30,88.38
2020-12-31,88.49
2021-01-01,88.35
2021-01-02,88.12
2021-01-03,87.92
2021-01-04,87.68
2021-01-05,87.31
2021-01-06,87.12
2021-01-07,87.19
2021-01-08,87.62
2021-01-09,87.9
2021-01-10,88.4
2021-01-11,88.97
2021-01-12,89.6
2021-01-13,89.93
2021-01-14,90.32
2021-01-15,90.72
2021-01-16,91.29
2021-01-17,91.5
2021-01-18,91.55
2021-01-19,91.55
2021-01-20,91.58
2021-01-21,91.38
2021-01-22,91.0
2021-01-23,90.2
2021-01-24,89.84
2021-01-25,89.54
2021-01-26,89.35
2021-01-27,89.27
2021-01-28,89.3
2021-01-29,89.39
2021-01-30,89.74
2021-01-31,89.89
2021-02-01,90.01
2021-02-02,90.14
2021-02-03,90.28
2021-02-04,90.35
2021-02-05,90.63
2021-02-06,90.88
2021-02-07,91.29
2021-02-08,91.74
2021-02-09,92.1
2021-02-10,92.51
2021-02-11,92.96
2021-02-12,93.29
2021-02-13,93.77
2021-02-14,93.97
2021-02-15,94.09
2021-02-16,94.21
2021-02-17,94.24
2021-02-18,94.23
2021-02-19,94.17
2021-02-20,93.82
2021-02-21,93.91
2021-02-22,94.09
2021-02-23,94.3
2021-02-24,94.61
2021-02-25,94.87
2021-02-26,95.19
2021-02-27,95.8
2021-02-28,96.1
2021-03-01,96.34
2021-03-02,96.55
2021-03-03,96.75
2021-03-04,96.97
2021-03-05,97.16
2021-03-06,97.22
2021-03-07,97.32
2021-03-08,97.52
2021-03-09,97.76
2021-03-10,97.84
2021-03-11,97.94
2021-03-12,97.98
2021-03-13,98.26
2021-03-14,98.33
2021-03-15,98.3
2021-03-16,98.32
2021-03-17,98.36
2021-03-18,98.45
2021-03-19,98.62
2021-03-20,98.73
2021-03-21,98.9
2021-03-22,99.1
2021-03-23,99.22
2021-03-24,99.35
2021-03-25,99.55
2021-03-26,99.7
2021-03-27,99.97
2021-03-28,100.24
2021-03-29,100.59
2021-03-30,100.92
2021-03-31,101.27
2021-04-01,101.48
2021-04-02,101.59
2021-04-03,101.69
2021-04-04,101.83
2021-04-05,101.96
2021-04-06,101.87
2021-04-07,101.98
2021-04-08,102.09
2021-04-09,102.57
2021-04-10,102.72
2021-04-11,102.92
2021-04-12,103.12
2021-04-13,103.53
2021-04-14,103.9
2021-04-15,104.32
2021-04-16,104.46
2021-04-17,104.86
2021-04-18,105.29
2021-04-19,105.69
2021-04-20,106.12
2021-04-21,106.48
2021-04-22,106.92
2021-04-23,107.43
2021-04-24,108.02
2021-04-25,108.39
2021-04-26,108.73
2021-04-27,109.03
2021-04-28,109.31
2021-04-29,109.57
2021-04-30,109.71
2021-05-01,109.7
2021-05-02,109.86
2021-05-03,110.08
2021-05-04,110.36
2021-05-05,110.56
2021-05-06,110.73
2021-05-07,110.9
2021-05-08,111.25
2021-05-09,111.54
2021-05-10,111.79
2021-05-11,111.9
2021-05-12,112.14
2021-05-13,112.37
2021-05-14,112.6
2021-05-15,112.69
2021-05-16,112.75
2021-05-17,112.83
2021-05-18,113.06
2021-05-19,113.1
2021-05-20,113.32
2021-05-21,113.62
2021-05-22,113.35
2021-05-23,113.55
2021-05-24,113.7
2021-05-25,113.72
2021-05-26,113.66
2021-05-27,113.7
2021-05-28,113.67
2021-05-29,114.33
2021-05-30,114.53
2021-05-31,114.81
2021-06-01,114.92
2021-06-02,115.23
2021-06-03,115.34
2021-06-04,115.54
2021-06-05,115.51
2021-06-06,115.6
2021-06-07,115.6
2021-06-08,115.86
2021-06-09,116.04
2021-06-10,116.13
2021-06-11,116.11
2021-06-12,116.11
2021-06-13,116.16
2021-06-14,116.42
2021-06-15,116.53
2021-06-16,116.71
2021-06-17,116.94
2021-06-18,117.08
2021-06-19,117.58
2021-06-20,117.94
2021-06-21,118.29
2021-06-22,118.51
2021-06-23,118.74
2021-06-24,118.91
2021-06-25,119.18
2021-06-26,119.47
2021-06-27,119.55
2021-06-28,119.54
2021-06-29,119.78
2021-06-30,119.93
2021-07-01,120.08
2021-07-02,120.29
2021-07-03,120.28
2021-07-04,120.39
2021-07-05,120.57
2021-07-06,120.75
2021-07-07,120.9
2021-07-08,121.11
2021-07-09,121.36
2021-07-10,121.33
2021-07-11,121.59
2021-07-12,121.6
2021-07-13,121.72
2021-07-14,121.86
2021-07-15,122.1
2021-07-16,122.13
2021-07-17,122.23
2021-07-18,122.5
2021-07-19,122.88
2021-07-20,123.07
2021-07-21,123.24
2021-07-22,123.13
2021-07-23,123.21
2021-07-24,123.23
2021-07-25,123.28
2021-07-26,123.15
2021-07-27,123.08
2021-07-28,123.06
2021-07-29,123.34
2021-07-30,123.53
2021-07-31,123.93
2021-08-01,123.83
2021-08-02,123.85
2021-08-03,123.98
2021-08-04,124.16
2021-08-05,124.28
2021-08-06,124.55
2021-08-07,124.64
2021-08-08,125.0
2021-08-09,125.42
2021-08-10,125.77
2021-08-11,126.08
2021-08-12,126.37
2021-08-13,126.54
2021-08-14,126.85
2021-08-15,127.05
2021-08-16,127.15
2021-08-17,127.31
2021-08-18,127.9
2021-08-19,128.51
2021-08-20,129.32
2021-08-21,130.15
2021-08-22,131.09
2021-08-23,132.13
2021-08-24,133.12
2021-08-25,133.69
2021-08-26,134.2
2021-08-27,134.44
2021-08-28,134.74
2021-08-29,134.96
2021-08-30,135.1
2021-08-31,135.21
2021-09-01,135.38
2021-09-02,135.67
2021-09-03,136.17
2021-09-04,136.35
2021-09-05,136.75
2021-09-06,137.27
2021-09-07,137.67
2021-09-08,138.16
2021-09-09,138.52
2021-09-10,138.7
2021-09-11,139.13
2021-09-12,139.07
2021-09-13,138.92
2021-09-14,138.98
2021-09-15,139.0
2021-09-16,138.92
2021-09-17,138.86
2021-09-18,138.84
2021-09-19,139.01
2021-09-20,139.17
2021-09-21,139.18
2021-09-22,139.23
2021-09-23,139.3
2021-09-24,139.46
2021-09-25,139.66
2021-09-26,139.77
2021-09-27,140.02
2021-09-28,140.32
2021-09-29,140.45
2021-09-30,140.56
2021-10-01,140.61
2021-10-02,140.74
2021-10-03,140.93
2021-10-04,140.93
2021-10-05,140.9
2021-10-06,141.03
2021-10-07,141.24
2021-10-08,141.17
2021-10-09,141.3
2021-10-10,141.4
2021-10-11,141.61
2021-10-12,141.85
2021-10-13,141.75
2021-10-14,141.72
2021-10-15,141.9
2021-10-16,141.64
2021-10-17,141.68
2021-10-18,141.74
2021-10-19,141.65
2021-10-20,141.85
2021-10-21,142.11
2021-10-22,142.7
2021-10-23,143.62
2021-10-24,144.22
2021-10-25,144.81
2021-10-26,145.58
2021-10-27,146.16
2021-10-28,146.78
2021-10-29,147.24
2021-10-30,147.64
2021-10-31,148.0
2021-11-01,148.37
2021-11-02,148.59
2021-11-03,149.04
2021-11-04,149.52
2021-11-05,149.99
2021-11-06,150.18
2021-11-07,150.7
2021-11-08,151.15
2021-11-09,151.84
2021-11-10,152.53
2021-11-11,153.06
2021-11-12,153.38
2021-11-13,153.76
2021-11-14,154.16
2021-11-15,154.47
2021-11-16,154.66
2021-11-17,154.79
2021-11-18,155.06
2021-11-19,155.59
2021-11-20,155.76
2021-11-21,156.32
2021-11-22,156.76
2021-11-23,157.12
2021-11-24,157.7
2021-11-25,158.04
2021-11-26,158.15
2021-11-27,158.71
2021-11-28,158.61
2021-11-29,158.82
2021-11-30,159.01
2021-12-01,158.8
2021-12-02,158.75
2021-12-03,158.97
2021-12-04,159.34
2021-12-05,159.84
2021-12-06,160.34
2021-12-07,160.96
2021-12-08,161.7
2021-12-09,162.61
2021-12-10,163.26
2021-12-11,163.36
2021-12-12,164.0
2021-12-13,164.75
2021-12-14,165.3
2021-12-15,165.78
2021-12-16,166.16
2021-12-17,166.71
2021-12-18,167.53
2021-12-19,167.75
2021-12-20,167.83
2021-12-21,167.6
2021-12-22,167.51
2021-12-23,167.35
2021-12-24,167.03
2021-12-25,166.92
2021-12-26,166.82
2021-12-27,166.76
2021-12-28,167.2
2021-12-29,166.87
2021-12-30,166.46
2021-12-31,166.03
2022-01-01,165.65
2022-01-02,164.84
2022-01-03,163.82
2022-01-04,162.85
2022-01-05,162.53
2022-01-06,162.15
2022-01-07,161.85
2022-01-08,161.12
2022-01-09,161.14
2022-01-10,161.23
2022-01-11,161.28
2022-01-12,161.5
2022-01-13,161.89
2022-01-14,162.15
2022-01-15,162.84
2022-01-16,163.11
2022-01-17,163.43
2022-01-18,163.68
2022-01-19,163.7
2022-01-20,163.51
2022-01-21,163.34
2022-01-22,162.61
2022-01-23,162.0
2022-01-24,161.22
2022-01-25,160.59
2022-01-26,160.27
2022-01-27,159.97
2022-01-28,159.69
2022-01-29,160.07
2022-01-30,160.55
2022-01-31,161.2
2022-02-01,161.61
2022-02-02,161.92
2022-02-03,162.44
2022-02-04,163.03
2022-02-05,163.31
2022-02-06,163.41
2022-02-07,163.53
2022-02-08,163.68
2022-02-09,163.85
2022-02-10,164.12
2022-02-11,164.51
2022-02-12,164.82
2022-02-13,165.1
2022-02-14,165.22
2022-02-15,165.44
2022-02-16,165.68
2022-02-17,165.68
2022-02-18,165.77
2022-02-19,165.31
2022-02-20,165.6
2022-02-21,166.03
2022-02-22,166.47
2022-02-23,166.75
2022-02-24,167.12
2022-02-25,167.29
2022-02-26,168.34
2022-02-27,168.68
2022-02-28,169.08
2022-03-01,169.2
2022-03-02,169.43
2022-03-03,169.55
2022-03-04,169.81
2022-03-05,169.63
2022-03-06,169.7
2022-03-07,169.73
2022-03-08,170.01
2022-03-09,170.3
2022-03-10,170.43
2022-03-11,170.51
2022-03-12,170.79
2022-03-13,170.69
2022-03-14,170.54
2022-03-15,170.51
2022-03-16,170.43
2022-03-17,170.76
2022-03-18,170.73
2022-03-19,170.76
2022-03-20,171.02
2022-03-21,171.19
2022-03-22,171.29
2022-03-23,171.33
2022-03-24,171.31
2022-03-25,171.78
2022-03-26,172.15
2022-03-27,172.6
2022-03-28,173.0
2022-03-29,173.44
2022-03-30,174.1
2022-03-31,174.41
2022-04-01,174.58
2022-04-02,174.78
2022-04-03,174.62
2022-04-04,174.71
2022-04-05,174.51
2022-04-06,174.33
2022-04-07,174.3
2022-04-08,174.22
2022-04-09,173.64
2022-04-10,173.12
2022-04-11,172.27
2022-04-12,171.92
2022-04-13,171.31
2022-04-14,170.98
2022-04-15,170.72
2022-04-16,170.85
2022-04-17,171.36
2022-04-18,172.15
2022-04-19,172.78
2022-04-20,173.26
2022-04-21,173.94
2022-04-22,174.28
2022-04-23,174.77
2022-04-24,174.81
2022-04-25,174.74
2022-04-26,174.59
2022-04-27,174.06
2022-04-28,173.71
2022-04-29,173.43
2022-04-30,173.2
2022-05-01,173.16
2022-05-02,173.23
2022-05-03,173.2
2022-05-04,173.76
2022-05-05,173.87
2022-05-06,174.24
2022-05-07,174.27
2022-05-08,174.14
2022-05-09,174.18
2022-05-10,174.44
2022-05-11,174.63
2022-05-12,174.88
2022-05-13,174.93
2022-05-14,175.14
2022-05-15,175.86
2022-05-16,176.35
2022-05-17,176.69
2022-05-18,176.95
2022-05-19,177.19
2022-05-20,177.63
2022-05-21,177.63
2022-05-22,177.84
2022-05-23,178.03
2022-05-24,178.2
2022-05-25,178.36
2022-05-26,178.41
2022-05-27,178.42
2022-05-28,179.0
2022-05-29,179.14
2022-05-30,179.34
