DATE,IHLIDXUSTPITOPHE
2020-02-01,100.0
2020-02-02,99.89
2020-02-03,99.82
2020-02-04,99.68
2020-02-05,99.67
2020-02-06,99.64
2020-02-07,99.57
2020-02-08,99.57
2020-02-09,99.56
2020-02-10,99.56
2020-02-11,99.48
2020-02-12,99.31
2020-02-13,99.22
2020-02-14,99.18
2020-02-15,99.11
2020-02-16,99.07
2020-02-17,98.97
2020-02-18,98.97
2020-02-19,98.93
2020-02-20,98.92
2020-02-21,98.83
2020-02-22,98.35
2020-02-23,98.0
2020-02-24,97.69
2020-02-25,97.4
2020-02-26,97.18
2020-02-27,96.88
2020-02-28,96.71
2020-02-29,97.01
2020-03-01,97.15
2020-03-02,97.29
2020-03-03,97.45
2020-03-04,97.65
2020-03-05,97.81
2020-03-06,97.94
2020-03-07,98.01
2020-03-08,98.08
2020-03-09,97.95
2020-03-10,97.83
2020-03-11,97.58
2020-03-12,97.37
2020-03-13,97.06
2020-03-14,96.73
2020-03-15,96.42
2020-03-16,96.29
2020-03-17,95.95
2020-03-18,95.6
2020-03-19,95.13
2020-03-20,94.55
2020-03-21,93.73
2020-03-22,92.99
2020-03-23,92.19
2020-03-24,91.54
2020-03-25,90.66
2020-03-26,89.73
2020-03-27,88.52
2020-03-28,87.42
2020-03-29,86.23
2020-03-30,85.07
2020-03-31,83.8
2020-04-01,82.6
2020-04-02,81.46
2020-04-03,80.67
2020-04-04,79.89
2020-04-05,79.08
2020-04-06,78.03
2020-04-07,77.01
2020-04-08,76.33
2020-04-09,75.71
2020-04-10,75.08
2020-04-11,74.54
2020-04-12,74.05
2020-04-13,73.77
2020-04-14,73.46
2020-04-15,73.01
2020-04-16,72.56
2020-04-17,72.17
2020-04-18,71.77
2020-04-19,71.28
2020-04-20,70.89
2020-04-21,70.58
2020-04-22,70.24
2020-04-23,69.92
2020-04-24,69.58
2020-04-25,69.28
2020-04-26,69.07
2020-04-27,68.8
2020-04-28,68.53
2020-04-29,68.26
2020-04-30,68.01
2020-05-01,67.81
2020-05-02,67.6
2020-05-03,67.31
2020-05-04,67.11
2020-05-05,66.89
2020-05-06,66.75
2020-05-07,66.62
2020-05-08,66.46
2020-05-09,66.35
2020-05-10,66.32
2020-05-11,66.19
2020-05-12,66.07
2020-05-13,65.48
2020-05-14,65.05
2020-05-15,64.94
2020-05-16,64.71
2020-05-17,64.5
2020-05-18,64.31
2020-05-19,64.11
2020-05-20,64.49
2020-05-21,64.84
2020-05-22,64.88
2020-05-23,65.04
2020-05-24,65.1
2020-05-25,65.15
2020-05-26,65.22
2020-05-27,65.13
2020-05-28,64.9
2020-05-29,64.82
2020-05-30,64.97
2020-05-31,65.01
2020-06-01,64.91
2020-06-02,64.92
2020-06-03,65.04
2020-06-04,65.18
2020-06-05,65.33
2020-06-06,65.39
2020-06-07,65.54
2020-06-08,65.82
2020-06-09,66.02
2020-06-10,66.13
2020-06-11,66.24
2020-06-12,66.23
2020-06-13,66.14
2020-06-14,66.22
2020-06-15,66.27
2020-06-16,66.32
2020-06-17,66.33
2020-06-18,66.42
2020-06-19,66.46
2020-06-20,66.58
2020-06-21,66.53
2020-06-22,66.49
2020-06-23,66.42
2020-06-24,66.41
2020-06-25,66.39
2020-06-26,66.37
2020-06-27,66.37
2020-06-28,66.43
2020-06-29,66.52
2020-06-30,66.68
2020-07-01,66.8
2020-07-02,66.93
2020-07-03,67.1
2020-07-04,67.27
2020-07-05,67.41
2020-07-06,67.54
2020-07-07,67.65
2020-07-08,67.9
2020-07-09,68.18
2020-07-10,68.49
2020-07-11,68.83
2020-07-12,69.17
2020-07-13,69.51
2020-07-14,69.86
2020-07-15,70.09
2020-07-16,70.25
2020-07-17,70.35
2020-07-18,70.18
2020-07-19,70.17
2020-07-20,70.24
2020-07-21,70.28
2020-07-22,70.34
2020-07-23,70.45
2020-07-24,70.54
2020-07-25,70.95
2020-07-26,71.13
2020-07-27,71.18
2020-07-28,71.23
2020-07-29,71.29
2020-07-30,71.35
2020-07-31,71.45
2020-08-01,71.51
2020-08-02,71.58
2020-08-03,71.75
2020-08-04,71.93
2020-08-05,71.83
2020-08-06,71.67
2020-08-07,71.41
2020-08-08,71.35
2020-08-09,71.3
2020-08-10,71.2
