DATE,IHLIDXUSTPMARK
2020-02-01,100.0
2020-02-02,100.0
2020-02-03,100.04
2020-02-04,100.09
2020-02-05,100.18
2020-02-06,100.27
2020-02-07,100.35
2020-02-08,100.56
2020-02-09,100.72
2020-02-10,101.0
2020-02-11,101.23
2020-02-12,101.39
2020-02-13,101.54
2020-02-14,101.7
2020-02-15,101.67
2020-02-16,101.71
2020-02-17,101.57
2020-02-18,101.47
2020-02-19,101.4
2020-02-20,101.33
2020-02-21,101.32
2020-02-22,101.18
2020-02-23,101.21
2020-02-24,101.28
2020-02-25,101.36
2020-02-26,101.36
2020-02-27,101.43
2020-02-28,101.46
2020-02-29,101.71
2020-03-01,101.73
2020-03-02,101.73
2020-03-03,101.7
2020-03-04,101.65
2020-03-05,101.52
2020-03-06,101.33
2020-03-07,101.2
2020-03-08,101.02
2020-03-09,100.79
2020-03-10,100.66
2020-03-11,100.41
2020-03-12,100.23
2020-03-13,100.03
2020-03-14,99.73
2020-03-15,99.4
2020-03-16,99.09
2020-03-17,98.41
2020-03-18,97.6
2020-03-19,96.32
2020-03-20,94.71
2020-03-21,92.68
2020-03-22,90.67
2020-03-23,88.63
2020-03-24,86.63
2020-03-25,84.54
2020-03-26,82.55
2020-03-27,80.31
2020-03-28,78.39
2020-03-29,76.45
2020-03-30,74.57
2020-03-31,72.68
2020-04-01,70.7
2020-04-02,68.66
2020-04-03,67.04
2020-04-04,65.42
2020-04-05,63.72
2020-04-06,61.92
2020-04-07,60.15
2020-04-08,58.8
2020-04-09,57.68
2020-04-10,56.63
2020-04-11,55.77
2020-04-12,54.94
2020-04-13,54.2
2020-04-14,53.57
2020-04-15,52.84
2020-04-16,52.14
2020-04-17,51.51
2020-04-18,50.96
2020-04-19,50.38
2020-04-20,49.88
2020-04-21,49.49
2020-04-22,49.13
2020-04-23,48.81
2020-04-24,48.51
2020-04-25,48.29
2020-04-26,48.09
2020-04-27,47.85
2020-04-28,47.61
2020-04-29,47.41
2020-04-30,47.29
2020-05-01,47.15
2020-05-02,47.0
2020-05-03,46.79
2020-05-04,46.67
2020-05-05,46.56
2020-05-06,46.48
2020-05-07,46.4
2020-05-08,46.38
2020-05-09,46.45
2020-05-10,46.57
2020-05-11,46.6
2020-05-12,46.57
2020-05-13,46.29
2020-05-14,46.07
2020-05-15,46.1
2020-05-16,45.91
2020-05-17,45.74
2020-05-18,45.57
2020-05-19,45.48
2020-05-20,45.73
2020-05-21,45.97
2020-05-22,46.0
2020-05-23,46.15
2020-05-24,46.22
2020-05-25,46.28
2020-05-26,46.36
2020-05-27,46.35
2020-05-28,46.27
2020-05-29,46.24
2020-05-30,46.4
2020-05-31,46.49
2020-06-01,46.49
2020-06-02,46.52
2020-06-03,46.59
2020-06-04,46.65
2020-06-05,46.79
2020-06-06,46.92
2020-06-07,47.14
2020-06-08,47.39
2020-06-09,47.63
2020-06-10,47.79
2020-06-11,47.93
2020-06-12,47.98
2020-06-13,47.84
2020-06-14,47.77
2020-06-15,47.78
2020-06-16,47.77
2020-06-17,47.81
2020-06-18,47.93
2020-06-19,48.05
2020-06-20,48.3
2020-06-21,48.47
2020-06-22,48.63
2020-06-23,48.78
2020-06-24,48.87
2020-06-25,48.95
2020-06-26,49.04
2020-06-27,49.14
2020-06-28,49.29
2020-06-29,49.4
2020-06-30,49.61
2020-07-01,49.95
2020-07-02,50.34
2020-07-03,50.67
2020-07-04,51.03
2020-07-05,51.4
