DATE,IHLIDXUSTPPRMA
2020-02-01,100.0
2020-02-02,99.81
2020-02-03,99.7
2020-02-04,99.67
2020-02-05,99.71
2020-02-06,99.7
2020-02-07,99.71
2020-02-08,99.78
2020-02-09,99.81
2020-02-10,99.84
2020-02-11,99.83
2020-02-12,99.85
2020-02-13,99.98
2020-02-14,100.17
2020-02-15,100.27
2020-02-16,100.47
2020-02-17,100.58
2020-02-18,100.73
2020-02-19,100.83
2020-02-20,100.88
2020-02-21,100.94
2020-02-22,100.85
2020-02-23,100.92
2020-02-24,100.96
2020-02-25,101.03
2020-02-26,101.1
2020-02-27,101.12
2020-02-28,101.05
2020-02-29,101.14
2020-03-01,100.99
2020-03-02,100.95
2020-03-03,100.87
2020-03-04,100.87
2020-03-05,100.94
2020-03-06,101.08
2020-03-07,101.21
2020-03-08,101.36
2020-03-09,101.37
2020-03-10,101.59
2020-03-11,101.65
2020-03-12,101.66
2020-03-13,101.56
2020-03-14,101.46
2020-03-15,101.31
2020-03-16,101.22
2020-03-17,100.69
2020-03-18,99.98
2020-03-19,99.07
2020-03-20,97.97
2020-03-21,96.58
2020-03-22,95.22
2020-03-23,93.78
2020-03-24,92.35
2020-03-25,90.78
2020-03-26,89.25
2020-03-27,87.66
2020-03-28,86.33
2020-03-29,84.96
2020-03-30,83.73
2020-03-31,82.56
2020-04-01,81.49
2020-04-02,80.43
2020-04-03,79.59
2020-04-04,78.66
2020-04-05,77.71
2020-04-06,76.6
2020-04-07,75.48
2020-04-08,74.64
2020-04-09,73.85
2020-04-10,73.08
2020-04-11,72.45
2020-04-12,71.79
2020-04-13,71.2
2020-04-14,70.75
2020-04-15,70.22
2020-04-16,69.69
2020-04-17,69.22
2020-04-18,68.85
2020-04-19,68.46
2020-04-20,68.19
2020-04-21,67.94
2020-04-22,67.69
2020-04-23,67.52
2020-04-24,67.39
2020-04-25,67.3
2020-04-26,67.24
2020-04-27,67.12
2020-04-28,66.97
2020-04-29,67.0
2020-04-30,67.04
2020-05-01,67.06
2020-05-02,67.12
2020-05-03,67.15
2020-05-04,67.27
2020-05-05,67.48
2020-05-06,67.59
2020-05-07,67.71
2020-05-08,67.93
2020-05-09,68.1
2020-05-10,68.37
2020-05-11,68.46
2020-05-12,68.65
2020-05-13,68.39
2020-05-14,68.31
2020-05-15,68.5
2020-05-16,68.56
2020-05-17,68.64
2020-05-18,68.79
2020-05-19,68.89
2020-05-20,69.57
2020-05-21,70.21
2020-05-22,70.59
2020-05-23,70.99
2020-05-24,71.21
2020-05-25,71.51
2020-05-26,71.67
2020-05-27,71.67
2020-05-28,71.63
2020-05-29,71.75
2020-05-30,72.15
2020-05-31,72.52
2020-06-01,72.67
2020-06-02,72.95
2020-06-03,73.26
2020-06-04,73.61
2020-06-05,73.93
2020-06-06,74.09
2020-06-07,74.39
2020-06-08,74.77
2020-06-09,75.14
2020-06-10,75.49
2020-06-11,75.73
2020-06-12,75.87
2020-06-13,75.95
2020-06-14,76.2
2020-06-15,76.44
2020-06-16,76.67
2020-06-17,76.89
2020-06-18,77.24
2020-06-19,77.72
2020-06-20,78.25
2020-06-21,78.65
2020-06-22,79.09
2020-06-23,79.42
2020-06-24,79.78
2020-06-25,80.07
2020-06-26,80.22
2020-06-27,80.41
2020-06-28,80.6
2020-06-29,80.81
2020-06-30,81.09
2020-07-01,81.31
2020-07-02,81.47
2020-07-03,81.75
2020-07-04,81.91
2020-07-05,82.08
2020-07-06,82.23
2020-07-07,82.43
2020-07-08,82.78
2020-07-09,83.27
2020-07-10,83.7
2020-07-11,84.26
2020-07-12,84.79
2020-07-13,85.31
2020-07-14,85.83
2020-07-15,86.3
2020-07-16,86.71
2020-07-17,87.06
2020-07-18,87.16
2020-07-19,87.47
2020-07-20,87.75
2020-07-21,88.01
2020-07-22,88.29
2020-07-23,88.51
2020-07-24,88.72
2020-07-25,89.12
2020-07-26,89.3
2020-07-27,89.49
2020-07-28,89.64
2020-07-29,89.85
2020-07-30,90.07
2020-07-31,90.35
2020-08-01,90.56
2020-08-02,90.72
2020-08-03,90.94
2020-08-04,91.25
2020-08-05,91.49
2020-08-06,91.75
2020-08-07,91.89
2020-08-08,92.12
2020-08-09,92.42
2020-08-10,92.7
2020-08-11,92.96
2020-08-12,93.11
2020-08-13,93.26
2020-08-14,93.59
2020-08-15,93.64
2020-08-16,93.95
2020-08-17,94.28
2020-08-18,94.57
2020-08-19,94.98
2020-08-20,95.45
2020-08-21,95.85
2020-08-22,96.57
2020-08-23,97.0
2020-08-24,97.44
2020-08-25,97.92
2020-08-26,98.37
2020-08-27,98.69
2020-08-28,99.04
2020-08-29,99.38
2020-08-30,99.75
2020-08-31,100.07
2020-09-01,100.29
2020-09-02,100.56
2020-09-03,100.98
2020-09-04,101.44
2020-09-05,101.79
2020-09-06,102.22
2020-09-07,102.64
2020-09-08,103.02
2020-09-09,103.34
2020-09-10,103.6
2020-09-11,103.81
2020-09-12,103.94
2020-09-13,103.99
2020-09-14,104.0
2020-09-15,104.18
2020-09-16,104.33
2020-09-17,104.52
2020-09-18,104.63
2020-09-19,104.82
2020-09-20,105.01
2020-09-21,105.17
2020-09-22,105.38
2020-09-23,105.68
2020-09-24,105.93
2020-09-25,106.28
2020-09-26,106.6
2020-09-27,107.0
2020-09-28,107.53
2020-09-29,107.97
2020-09-30,108.36
2020-10-01,108.7
2020-10-02,108.94
2020-10-03,109.27
2020-10-04,109.46
2020-10-05,109.64
2020-10-06,109.89
2020-10-07,110.13
2020-10-08,110.48
2020-10-09,110.87
2020-10-10,111.25
2020-10-11,111.67
2020-10-12,112.06
2020-10-13,112.38
2020-10-14,112.69
2020-10-15,113.0
2020-10-16,113.29
2020-10-17,113.48
2020-10-18,113.91
2020-10-19,114.32
2020-10-20,114.73
2020-10-21,115.22
2020-10-22,115.63
2020-10-23,115.95
2020-10-24,116.38
2020-10-25,116.58
2020-10-26,116.85
2020-10-27,117.17
2020-10-28,117.41
2020-10-29,117.76
2020-10-30,118.15
2020-10-31,118.44
2020-11-01,118.69
2020-11-02,118.92
2020-11-03,119.21
2020-11-04,119.58
2020-11-05,119.9
2020-11-06,120.19
2020-11-07,120.45
2020-11-08,120.84
2020-11-09,121.18
2020-11-10,121.45
2020-11-11,121.63
2020-11-12,121.79
2020-11-13,121.99
2020-11-14,121.22
2020-11-15,120.69
2020-11-16,120.19
2020-11-17,120.5
2020-11-18,120.79
2020-11-19,121.02
2020-11-20,121.16
2020-11-21,122.3
2020-11-22,123.31
2020-11-23,124.43
2020-11-24,124.7
2020-11-25,125.02
2020-11-26,125.32
2020-11-27,125.55
2020-11-28,125.7
2020-11-29,125.61
2020-11-30,125.48
2020-12-01,125.31
2020-12-02,125.19
2020-12-03,125.12
2020-12-04,124.41
2020-12-05,124.71
2020-12-06,125.05
2020-12-07,125.27
2020-12-08,125.52
2020-12-09,125.7
2020-12-10,125.89
2020-12-11,126.95
2020-12-12,126.73
2020-12-13,126.95
2020-12-14,127.21
2020-12-15,127.57
2020-12-16,127.87
2020-12-17,128.03
2020-12-18,128.19
2020-12-19,128.52
2020-12-20,128.5
2020-12-21,128.54
2020-12-22,128.46
2020-12-23,128.03
2020-12-24,127.66
2020-12-25,127.17
2020-12-26,126.81
2020-12-27,126.48
2020-12-28,126.2
2020-12-29,125.94
2020-12-30,126.05
2020-12-31,126.01
2021-01-01,125.52
2021-01-02,124.66
2021-01-03,123.64
2021-01-04,122.39
2021-01-05,121.46
2021-01-06,120.83
2021-01-07,120.5
2021-01-08,120.84
2021-01-09,121.4
2021-01-10,122.39
2021-01-11,123.43
2021-01-12,124.22
2021-01-13,124.87
2021-01-14,125.66
