DATE,IHLIDXUSTPNURS
2020-02-01,100.0
2020-02-02,99.84
2020-02-03,99.72
2020-02-04,99.68
2020-02-05,99.6
2020-02-06,99.66
2020-02-07,99.63
2020-02-08,99.64
2020-02-09,99.62
2020-02-10,99.6
2020-02-11,99.55
2020-02-12,99.58
2020-02-13,99.43
2020-02-14,99.41
2020-02-15,99.24
2020-02-16,99.14
2020-02-17,99.07
2020-02-18,99.01
2020-02-19,98.92
2020-02-20,98.86
2020-02-21,98.69
2020-02-22,98.73
2020-02-23,98.73
2020-02-24,98.7
2020-02-25,98.74
2020-02-26,98.84
2020-02-27,99.0
2020-02-28,99.23
2020-02-29,99.51
2020-03-01,99.81
2020-03-02,100.13
2020-03-03,100.25
2020-03-04,100.19
2020-03-05,99.99
2020-03-06,99.75
2020-03-07,99.43
2020-03-08,99.0
2020-03-09,98.44
2020-03-10,97.98
2020-03-11,97.67
2020-03-12,97.4
2020-03-13,97.18
2020-03-14,96.95
2020-03-15,96.7
2020-03-16,96.72
2020-03-17,96.55
2020-03-18,96.46
2020-03-19,96.44
2020-03-20,96.28
2020-03-21,95.97
2020-03-22,95.82
2020-03-23,95.45
2020-03-24,95.25
2020-03-25,94.81
2020-03-26,94.27
2020-03-27,93.59
2020-03-28,92.85
2020-03-29,92.09
2020-03-30,91.39
2020-03-31,90.64
2020-04-01,89.85
2020-04-02,89.1
2020-04-03,88.57
2020-04-04,88.09
2020-04-05,87.43
2020-04-06,86.68
2020-04-07,85.82
2020-04-08,85.16
2020-04-09,84.33
2020-04-10,83.49
2020-04-11,82.79
2020-04-12,82.15
2020-04-13,81.48
2020-04-14,81.09
2020-04-15,80.66
2020-04-16,80.37
2020-04-17,80.02
2020-04-18,79.66
2020-04-19,79.37
2020-04-20,79.26
2020-04-21,78.94
2020-04-22,78.5
2020-04-23,78.1
2020-04-24,77.71
2020-04-25,77.3
2020-04-26,76.89
2020-04-27,76.44
2020-04-28,76.0
2020-04-29,75.65
2020-04-30,75.3
2020-05-01,74.97
2020-05-02,74.76
2020-05-03,74.57
2020-05-04,74.46
2020-05-05,74.42
2020-05-06,74.45
2020-05-07,74.49
2020-05-08,74.55
2020-05-09,74.52
2020-05-10,74.48
2020-05-11,74.33
2020-05-12,74.18
2020-05-13,73.69
2020-05-14,74.59
2020-05-15,75.51
2020-05-16,76.31
2020-05-17,76.95
2020-05-18,77.54
2020-05-19,77.99
2020-05-20,78.4
2020-05-21,77.47
2020-05-22,76.54
2020-05-23,75.74
2020-05-24,75.1
2020-05-25,74.51
2020-05-26,73.99
2020-05-27,73.79
2020-05-28,73.58
2020-05-29,73.41
2020-05-30,73.4
2020-05-31,73.34
2020-06-01,73.32
2020-06-02,73.42
2020-06-03,73.56
2020-06-04,73.74
2020-06-05,73.93
2020-06-06,74.13
2020-06-07,74.37
2020-06-08,74.58
2020-06-09,74.82
2020-06-10,75.04
2020-06-11,75.2
2020-06-12,75.4
2020-06-13,75.43
2020-06-14,75.51
2020-06-15,75.58
2020-06-16,75.64
2020-06-17,75.59
2020-06-18,75.63
2020-06-19,75.59
2020-06-20,75.63
2020-06-21,75.62
2020-06-22,75.64
2020-06-23,75.58
2020-06-24,75.71
2020-06-25,75.9
2020-06-26,76.16
2020-06-27,76.38
2020-06-28,76.6
2020-06-29,76.91
2020-06-30,77.28
2020-07-01,77.59
2020-07-02,77.86
2020-07-03,78.19
2020-07-04,78.52
2020-07-05,78.87
2020-07-06,79.14
2020-07-07,79.47
2020-07-08,79.88
2020-07-09,80.35
2020-07-10,80.84
2020-07-11,81.36
2020-07-12,81.91
2020-07-13,82.4
2020-07-14,82.86
2020-07-15,83.2
2020-07-16,83.51
2020-07-17,83.77
2020-07-18,83.99
2020-07-19,84.34
2020-07-20,84.76
2020-07-21,85.23
2020-07-22,85.83
2020-07-23,86.47
2020-07-24,87.29
2020-07-25,88.12
2020-07-26,88.87
2020-07-27,89.49
2020-07-28,90.01
2020-07-29,90.41
2020-07-30,90.77
2020-07-31,90.91
2020-08-01,91.06
2020-08-02,91.22
2020-08-03,91.4
2020-08-04,91.73
2020-08-05,92.07
2020-08-06,92.33
2020-08-07,92.62
2020-08-08,92.76
2020-08-09,92.83
2020-08-10,92.96
2020-08-11,93.0
2020-08-12,92.93
2020-08-13,92.92
2020-08-14,92.99
2020-08-15,93.01
2020-08-16,93.18
2020-08-17,93.32
2020-08-18,93.47
2020-08-19,93.67
2020-08-20,93.88
2020-08-21,93.95
2020-08-22,94.19
2020-08-23,94.31
2020-08-24,94.45
2020-08-25,94.6
2020-08-26,94.77
2020-08-27,94.86
2020-08-28,95.02
2020-08-29,95.32
2020-08-30,95.63
2020-08-31,95.93
2020-09-01,96.12
2020-09-02,96.44
2020-09-03,96.73
2020-09-04,96.88
2020-09-05,96.87
2020-09-06,96.86
2020-09-07,96.94
2020-09-08,97.03
2020-09-09,97.05
2020-09-10,97.28
2020-09-11,97.64
2020-09-12,97.92
2020-09-13,98.19
2020-09-14,98.41
2020-09-15,98.66
2020-09-16,98.92
2020-09-17,99.07
2020-09-18,99.23
2020-09-19,99.47
2020-09-20,99.72
2020-09-21,99.92
2020-09-22,100.2
2020-09-23,100.48
2020-09-24,100.7
2020-09-25,100.89
2020-09-26,101.03
2020-09-27,101.22
2020-09-28,101.45
2020-09-29,101.74
2020-09-30,101.99
2020-10-01,102.21
2020-10-02,102.46
2020-10-03,102.81
2020-10-04,103.1
2020-10-05,103.44
2020-10-06,103.67
2020-10-07,103.9
2020-10-08,104.21
2020-10-09,104.49
2020-10-10,104.69
2020-10-11,104.91
2020-10-12,105.12
2020-10-13,105.32
2020-10-14,105.54
2020-10-15,105.77
2020-10-16,105.93
2020-10-17,106.19
2020-10-18,106.44
2020-10-19,106.62
2020-10-20,106.86
2020-10-21,107.23
2020-10-22,107.51
2020-10-23,107.8
2020-10-24,108.04
2020-10-25,108.27
2020-10-26,108.45
2020-10-27,108.52
2020-10-28,108.41
2020-10-29,108.38
2020-10-30,108.27
2020-10-31,108.04
2020-11-01,107.72
2020-11-02,107.51
2020-11-03,107.46
2020-11-04,107.49
2020-11-05,107.51
2020-11-06,107.66
2020-11-07,107.91
2020-11-08,108.33
2020-11-09,108.67
2020-11-10,108.89
2020-11-11,109.08
2020-11-12,109.29
2020-11-13,109.48
2020-11-14,109.58
