DATE,IHLIDXUSTPELECENGI,IHLIDXUSTPMARK,IHLIDXUSTPRETA,IHLIDXUSTPHUMARESO,IHLIDXUSTPPRMA,IHLIDXUSTPSALE,IHLIDXUSTPITOPHE,IHLIDXUSTPNURS,IHLIDXUSTPSOFTDEVE
2020-02-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-02-02,99.99,100.0,99.65,99.72,99.81,99.83,99.89,99.84,99.75
2020-02-03,99.96,100.04,99.11,99.7,99.7,99.71,99.82,99.72,99.55
2020-02-04,99.95,100.09,98.99,99.75,99.67,99.65,99.68,99.68,99.29
2020-02-05,99.96,100.18,98.89,99.85,99.71,99.62,99.67,99.6,99.22
2020-02-06,99.99,100.27,98.65,99.93,99.7,99.57,99.64,99.66,99.12
2020-02-07,99.97,100.35,98.37,99.93,99.71,99.5,99.57,99.63,99.01
2020-02-08,100.13,100.56,98.38,100.08,99.78,99.55,99.57,99.64,99.11
2020-02-09,100.28,100.72,98.34,100.13,99.81,99.61,99.56,99.62,99.21
2020-02-10,100.48,101.0,98.61,100.22,99.84,99.63,99.56,99.6,99.33
2020-02-11,100.63,101.23,98.59,100.23,99.83,99.69,99.48,99.55,99.39
2020-02-12,100.74,101.39,98.62,100.13,99.85,99.69,99.31,99.58,99.36
2020-02-13,100.7,101.54,98.78,100.02,99.98,99.67,99.22,99.43,99.34
2020-02-14,100.67,101.7,98.87,99.96,100.17,99.7,99.18,99.41,99.38
2020-02-15,100.47,101.67,99.11,99.72,100.27,99.6,99.11,99.24,99.31
2020-02-16,100.42,101.71,99.39,99.63,100.47,99.52,99.07,99.14,99.32
2020-02-17,100.24,101.57,99.53,99.47,100.58,99.32,98.97,99.07,99.28
2020-02-18,100.03,101.47,99.72,99.36,100.73,99.19,98.97,99.01,99.33
2020-02-19,99.8,101.4,99.85,99.19,100.83,99.05,98.93,98.92,99.32
2020-02-20,99.7,101.33,99.91,99.02,100.88,98.98,98.92,98.86,99.34
2020-02-21,99.53,101.32,100.24,98.96,100.94,98.92,98.83,98.69,99.32
2020-02-22,99.38,101.18,100.17,98.72,100.85,98.86,98.35,98.73,99.2
2020-02-23,99.32,101.21,100.13,98.64,100.92,98.96,98.0,98.73,99.29
2020-02-24,99.31,101.28,100.08,98.56,100.96,99.12,97.69,98.7,99.4
2020-02-25,99.34,101.36,99.98,98.47,101.03,99.29,97.4,98.74,99.54
2020-02-26,99.34,101.36,99.86,98.46,101.1,99.43,97.18,98.84,99.71
2020-02-27,99.28,101.43,99.84,98.47,101.12,99.58,96.88,99.0,99.91
2020-02-28,99.32,101.46,99.74,98.38,101.05,99.74,96.71,99.23,100.17
2020-02-29,99.44,101.71,99.71,98.6,101.14,100.09,97.01,99.51,100.61
2020-03-01,99.33,101.73,99.5,98.56,100.99,100.23,97.15,99.81,100.81
2020-03-02,99.22,101.73,99.32,98.5,100.95,100.35,97.29,100.13,101.02
2020-03-03,99.15,101.7,99.11,98.41,100.87,100.41,97.45,100.25,101.18
2020-03-04,99.06,101.65,98.86,98.32,100.87,100.52,97.65,100.19,101.29
2020-03-05,98.97,101.52,98.6,98.19,100.94,100.55,97.81,99.99,101.36
2020-03-06,98.83,101.33,98.23,97.98,101.08,100.58,97.94,99.75,101.37
2020-03-07,98.71,101.2,98.1,97.86,101.21,100.57,98.01,99.43,101.35
2020-03-08,98.59,101.02,98.01,97.72,101.36,100.53,98.08,99.0,101.25
2020-03-09,98.33,100.79,97.82,97.55,101.37,100.43,97.95,98.44,101.03
2020-03-10,98.3,100.66,97.73,97.56,101.59,100.37,97.83,97.98,100.93
2020-03-11,98.18,100.41,97.38,97.59,101.65,100.25,97.58,97.67,100.8
2020-03-12,98.07,100.23,96.89,97.57,101.66,100.15,97.37,97.4,100.69
2020-03-13,97.91,100.03,96.45,97.52,101.56,99.94,97.06,97.18,100.57
2020-03-14,97.72,99.73,95.81,97.41,101.46,99.62,96.73,96.95,100.49
2020-03-15,97.44,99.4,95.26,97.23,101.31,99.32,96.42,96.7,100.43
2020-03-16,97.29,99.09,94.82,97.07,101.22,99.11,96.29,96.72,100.43
2020-03-17,96.77,98.41,94.18,96.49,100.69,98.64,95.95,96.55,100.28
2020-03-18,96.19,97.6,93.84,95.64,99.98,97.97,95.6,96.46,100.09
2020-03-19,95.41,96.32,93.83,94.53,99.07,97.08,95.13,96.44,99.7
2020-03-20,94.48,94.71,93.5,93.13,97.97,95.88,94.55,96.28,99.1
2020-03-21,93.26,92.68,92.94,91.29,96.58,94.41,93.73,95.97,98.24
2020-03-22,92.21,90.67,92.4,89.51,95.22,92.98,92.99,95.82,97.48
2020-03-23,91.15,88.63,91.97,87.71,93.78,91.52,92.19,95.45,96.7
2020-03-24,90.2,86.63,91.4,85.88,92.35,89.99,91.54,95.25,95.96
2020-03-25,89.16,84.54,90.66,84.03,90.78,88.42,90.66,94.81,95.02
2020-03-26,88.19,82.55,89.37,82.18,89.25,86.81,89.73,94.27,93.99
2020-03-27,86.89,80.31,88.1,80.14,87.66,85.05,88.52,93.59,92.66
2020-03-28,85.95,78.39,87.12,78.37,86.33,83.48,87.42,92.85,91.44
2020-03-29,84.9,76.45,86.05,76.53,84.96,81.78,86.23,92.09,90.08
2020-03-30,83.88,74.57,84.87,74.77,83.73,80.07,85.07,91.39,88.78
2020-03-31,82.77,72.68,83.9,72.74,82.56,78.38,83.8,90.64,87.35
2020-04-01,81.68,70.7,82.42,70.59,81.49,76.72,82.6,89.85,85.96
2020-04-02,80.55,68.66,81.2,68.59,80.43,75.09,81.46,89.1,84.7
2020-04-03,79.89,67.04,80.19,67.06,79.59,73.77,80.67,88.57,83.91
2020-04-04,78.97,65.42,78.72,65.58,78.66,72.16,79.89,88.09,83.08
2020-04-05,77.96,63.72,77.29,64.02,77.71,70.58,79.08,87.43,82.21
2020-04-06,76.75,61.92,76.16,62.35,76.6,69.3,78.03,86.68,81.25
2020-04-07,75.64,60.15,74.95,61.05,75.48,67.87,77.01,85.82,80.29
2020-04-08,74.85,58.8,74.4,60.19,74.64,66.52,76.33,85.16,79.57
2020-04-09,74.14,57.68,73.75,59.28,73.85,65.25,75.71,84.33,78.85
2020-04-10,73.43,56.63,72.79,58.36,73.08,63.98,75.08,83.49,78.07
2020-04-11,72.97,55.77,72.27,57.64,72.45,62.99,74.54,82.79,77.5
2020-04-12,72.57,54.94,71.75,56.91,71.79,61.96,74.05,82.15,76.95
2020-04-13,72.35,54.2,70.88,56.32,71.2,60.64,73.77,81.48,76.48
2020-04-14,72.14,53.57,70.12,55.83,70.75,59.63,73.46,81.09,76.07
2020-04-15,71.76,52.84,69.29,55.24,70.22,58.55,73.01,80.66,75.55
2020-04-16,71.4,52.14,68.42,54.76,69.69,57.55,72.56,80.37,75.08
2020-04-17,71.06,51.51,67.61,54.3,69.22,56.54,72.17,80.02,74.62
2020-04-18,70.78,50.96,66.81,53.78,68.85,55.79,71.77,79.66,74.16
