DATE,IHLIDXUSTPSALE
2020-02-01,100.0
2020-02-02,99.83
2020-02-03,99.71
2020-02-04,99.65
2020-02-05,99.62
2020-02-06,99.57
2020-02-07,99.5
2020-02-08,99.55
2020-02-09,99.61
2020-02-10,99.63
2020-02-11,99.69
2020-02-12,99.69
2020-02-13,99.67
2020-02-14,99.7
2020-02-15,99.6
2020-02-16,99.52
2020-02-17,99.32
2020-02-18,99.19
2020-02-19,99.05
2020-02-20,98.98
2020-02-21,98.92
2020-02-22,98.86
2020-02-23,98.96
2020-02-24,99.12
2020-02-25,99.29
2020-02-26,99.43
2020-02-27,99.58
2020-02-28,99.74
2020-02-29,100.09
2020-03-01,100.23
2020-03-02,100.35
2020-03-03,100.41
2020-03-04,100.52
2020-03-05,100.55
2020-03-06,100.58
2020-03-07,100.57
2020-03-08,100.53
2020-03-09,100.43
2020-03-10,100.37
2020-03-11,100.25
2020-03-12,100.15
2020-03-13,99.94
2020-03-14,99.62
2020-03-15,99.32
2020-03-16,99.11
2020-03-17,98.64
2020-03-18,97.97
2020-03-19,97.08
2020-03-20,95.88
2020-03-21,94.41
2020-03-22,92.98
2020-03-23,91.52
2020-03-24,89.99
2020-03-25,88.42
2020-03-26,86.81
2020-03-27,85.05
2020-03-28,83.48
2020-03-29,81.78
2020-03-30,80.07
2020-03-31,78.38
2020-04-01,76.72
2020-04-02,75.09
2020-04-03,73.77
2020-04-04,72.16
2020-04-05,70.58
2020-04-06,69.3
2020-04-07,67.87
2020-04-08,66.52
2020-04-09,65.25
2020-04-10,63.98
2020-04-11,62.99
2020-04-12,61.96
2020-04-13,60.64
2020-04-14,59.63
2020-04-15,58.55
2020-04-16,57.55
2020-04-17,56.54
2020-04-18,55.79
2020-04-19,55.03
2020-04-20,54.33
2020-04-21,53.64
2020-04-22,53.12
2020-04-23,52.64
2020-04-24,52.29
2020-04-25,52.01
2020-04-26,51.73
2020-04-27,51.44
2020-04-28,51.17
2020-04-29,50.97
2020-04-30,50.69
2020-05-01,50.52
2020-05-02,50.28
2020-05-03,50.05
